,Input,Target,Predicted,Edit Distance
824,perth,பெர்த்,்்்்்்்்்்்்்்்்்்்்்்்்,22
825,kadhaanaayaki,கதாநாயகி,்்்்்்்்்்்்்்்்்்்்்்்்,24
826,newark,நியூவார்க்,்்்்்்்்்்்்்்்்்்்்்்்்,22
827,diie,டை,்்்்்்்்்்்்்்்்்்்்்்்்,24
828,padippaith,படிப்பைத்,்்்்்்்்்்்்்்்்்்்்்்்்,22
829,adhirchchiyadaindha,அதிர்ச்சியடைந்த,்்்்்்்்்்்்்்்்்்்்்்்்,21
830,uthadugalla,உதடுகள்ல,்்்்்்்்்்்்்்்்்்்்்்்்,23
831,aliyum,அலியும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
832,gita,கீதை,்்்்்்்்்்்்்்்்்்்்்்்்,24
833,veruththa,வெறுத்த,்்்்்்்்்்்்்்்்்்்்்்்்,23
834,kotturu,கோட்டுரு,்்்்்்்்்்்்்்்்்்்்்்்்,23
835,nelson,நெல்சன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
836,cubavil,கியூபாவில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
837,kadarkaraiyil,கடற்கரையில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
838,peravaith,பேரவைத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
839,chankankalukku,சங்கங்களுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,21
840,saethamadainththu,சேதமடைந்தது,்்்்்்்்்்்்்்்்்்்்்்்்,23
841,udambai,உடம்பை,்்்்்்்்்்்்்்்்்்்்்்்்,23
842,vidhya,வித்தியா,்்்்்்்்்்்்்்்்்்்்்்்்,23
843,strong,ஸ்ட்ராங்,்்்்்்்்்்்்்்்்்்்்்்்்,21
844,azhiththanar,அழித்தனர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
845,baka,பகா,்்்்்்்்்்்்்்்்்்்்்்்்,24
846,ventum,கிடைக்க,்்்்்்்்்்்்்்்்்்்்்்்்,23
847,aangalukkaana,ஆண்களுக்கான,்்்்்்்்்்்்்்்்்்்்்்்்,22
848,kalvikkaka,கல்விக்காக,்்்்்்்்்்்்்்்்்்்்்்்்,22
849,uyirvaalum,உயிர்வாழும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
850,asokan,அசோகன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
851,thamilakatthukku,தமிழகத்துக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
852,theriviththullathaga,தெரிவித்துள்ளதாக,்்்்்்்்்்்்்்்்்்்்்்்்,22
853,deoghar,டியோகர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
854,mikkathu,மிக்கது,்்்்்்்்்்்்்்்்்்்்்்்்,23
855,uththirappiradhesa,உத்தரப்பிரதேச,்்்்்்்்்்்்்்்்்்்்்்்்,22
856,inththiyaavai,இந்தியாவை,்்்்்்்்்்்்்்்்்்்்்்்்,23
857,manudhaarar,மனுதாரர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
858,nikazhvukalaal,நிகழ்வுகளால்,்்்்்்்்்்்்்்்்்்்்்்்்,22
859,thandanaiyilirundhu,தண்டனையிலிருந்து,்்்்்்்்்்்்்்்்்்்்்்்்,22
860,sura,சுரா,்்்்்்்்்்்்்்்்்்்்்்்்,24
861,seimadhi,செய்மதி,்்்்்்்்்்்்்்்்்்்்்்்்,23
862,pearland,பியர்லேண்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,21
863,pinpuramaaka,பின்புறமாக,்்்்்்்்்்்்்்்்்்்்்்்்,23
864,naarkaali,நாற்காலி,்்்்்்்்்்்்்்்்்்்்்்்்,23
865,ivanga,இவங்க,்்்்்்்்்்்்்்்்்்்்்்்்,23
866,yeitha,எய்த,்்்்்்்்்்்்்்்்்்்்்்்்,23
867,yedhirkka,எதிர்க்க,்்்்்்்்்்்்்்்்்்்்்்்்,22
868,inaithidumaaru,இணைத்திடுமாறு,்்்்்்்்்்்்்்்்்்்்்்்்,23
869,seigira,செய்கிற,்்்்்்்்்்்்்்்்்்்்்்்்,23
870,kadambur,கடம்பூர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
871,ivanaippaadiya,இவனைப்பாடிய,்்்்்்்்்்்்்்்்்்்்்்்்,23
872,pasukkazhil,பசுக்களில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
873,kandarinthanar,கண்டறிந்தனர்,்்்்்்்்்்்்்்்்்்்்்்்்,21
874,quuantuumm,குவாண்டம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
875,munvaiththaar,முன்வைத்தார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
876,pachchaanaip,பச்சானைப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
877,snow,ஸ்ணோ,்்்்்்்்்்்்்்்்்்்்்்்்,23
878,thalaiyittu,தலையிட்டு,்்்்்்்்்்்்்்்்்்்்்்்்,23
879,delhi,டெல்லி,்்்்்்்்்்்்்்்்்்்்்்்்,23
880,fernandez,பெர்ணான்டஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,21
881,mitra,மித்ரா,்்்்்்்்்்்்்்்்்்்்்்்்,23
882,kei,சாவி,்்்்்்்்்்்்்்்்்்்்்்்்,24
883,mandadi,மண்டடி,்்்்்்்்்்்்்்்்்்்்்்்்,23
884,quuantam,குவாண்டம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
885,vaedhi,வேதி,்்்்்்்்்்்்்்்்்்்்்்்்,24
886,kaalaththai,காலத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,23
887,ilakkiyaththuraikalukku,இலக்கியத்துறைகளுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,21
888,sosalisa,சோசலிச,்்்்்்்்்்்்்்்்்்்்்்்்,24
889,abuthaabiyil,அபுதாபியில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
890,alam,அலம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
891,amaitthukkondullathu,அமைத்துக்கொண்டுள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,20
892,manipur,மணிப்பூர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
893,aaivukkaana,ஆய்வுக்கான,்்்்்்்்்்்்்்்்்்்்்்்்,22
894,pukazhpetraar,புகழ்பெற்றார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
895,bhiwani,பிவானி,்்்்்்்்்்்்்்்்்்்்்்்்,24
896,ezhuthiyullathu,எழுதியுள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,23
897,yelimaiyaaka,எளிமையாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
898,maalaikal,மாலைகள்,்்்்்்்்்்்்்்்்்்்்்்்்,23
899,bathilum,பதிலும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
900,varigal,வரிகள்,்்்்்்்்்்்்்்்்்்்்்்்்,23
901,deccan,டெக்கான்,்்்்்்்்்்்்்்்்்்்்்்்்,22
902,dhonee,டோனி,்்்்்்்்்்்்்்்்்்்்்்்்,24
903,apinaya,அபிநய,்்்்்்்்்்்்்்்்்்்்்்்்,24
904,yeluthiyullathu,எழுதியுள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,23
905,sollukkaana,சொல்லுக்கான,்்்்்்்்்்்்்்்்்்்்்்்்,22
906,siridhazhavu,சிறிதளவு,்்்்்்்்்்்்்்்்்்்்்்்்,24
907,yookan,யோகன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
908,thodankinen,தொடங்கினேன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
909,fatima,ஃபாடிமா,்்்்்்்்்்்்்்்்்்்்்்்்,24
910,thiriththanna,திரித்தன்ன,்்்்்்்்்்்்்்்்்்்்்்்்,22
911,gandhimathi,காந்திமதி,்்்்்்்்்்்்்்்்்்்்்்்்,23
912,suthamana,சுத்தமான,்்்்்்்்்்்்்்்்்்்்்்்்,23
913,ilanthu,இழந்து,்்்்்்்்்்்்்்்்்்்்்்்்,23
914,avathaaranggal,அவதாரங்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
915,tharukintraar,தருகின்றார்,்்்்்்்்்்்்்்்்்்்்்்்்,22
916,aandilirunththu,ஆண்டிலிருந்து,்்்்்்்்்்்்்்்்்்்்்்்்,22
917,goolda,கோல்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,22
918,ellison,எலிசன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
919,athithamana,அதீதமான,்்்்்்்்்்்்்்்்்்்்்்்்,24
920,orangal,ஓரங்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
921,sreenivaasan,ஸ்ரீநிவாசன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
922,paava,பாவ,்்்்்்்்்்்்்்்்்்்்்்்்,24
923,ottik,ஒட்டிக்,்்்்்்்்்்்்்்்்்்்்்்்்,22
924,palagaiyil,பலகையில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
925,kulanthaai,குழந்தாய்,்்்்்்்்்்்்்்்்்்்்்்்்,22
926,paathikkap,பாதிக்கப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
927,kathirveecchin,கதிர்வீச்சின்,்்்்்்்்்்்்்்்்்்்்்்்்,21
928,indhuk,இந்துக்,்்்்்்்்்்்்்்்்்்்்்்்்,22
929,ventures,வெண்சூர்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,21
930,monterey,மான்டிரே,்்்்்்்்்்்்்்்்்்்்்்்்,23
931,izhuthupottavar,இழுத்துப்போட்டவர்,்்்்்்்்்்்்்்்்்்்்்்்்,20
932,povatharku,போவதற்கு,்்்்்்்்்்்்்்்்்்்்்்்்,23
933,aagividum,ஆகிவிடும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
934,padutthiya,படுத்திய,்்்்்்்்்்்்்்்்்்்்்்்்,23
935,mudhalvarai,முதல்வரை,்்்்்்்்்்்்்்்்்்்்்்்்,23
936,thalaimaith,தலைமைத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
937,thoarruviththaar,தோற்றுவித்தார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
938,kannikalaich,கண்ணிகளைச்,்்்்்்்்்்்்்்்்்்்்்்்்,22
939,kaimioo,கேமியோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
940,veentum,குளிக்க,்்்்்்்்்்்்்்்்்்்்்்்்,23
941,devaalayam,தேவாலயம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
942,veluththu,வெளுத்து,்்்்்்்்்்்்்்்்்்்்்்்்,23
943,ooduruvalgalukkum,ஊடுருவல்களுக்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,21
944,naattavargazh,நாட்டவர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
945,killeen,கில்லீன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
946,kuudumaana,கூடுமான,்்்்்்்்்்்்்்்்்்்்்்்்,24
947,kool,கூல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
948,thiranaalikalukkaana,மாற்றுத்,்்்்்்்்்்்்்்்்்்்்்்்்,22
949,seiyappattan,செய்யப்பட்டான்,்்்்்்்்்்்்்்்்்்்்்்்்,20
950,vanggak,வங்கக்,்்்்்்்்்்்்்்்்்்்்்்்்,22
951,mupparimaana,முப்பரிமாண,்்்்்்்்்்்்்்்்்்்்்்்்,23
952,makizhunthu,மகிழுந்து,்்்்்்்்்்்்்்்்்்்்்்்்,23
953,ippodhey,இப்போதே,்்்்்்்்்்்்்்்்்்்்்்்்,23
954,udalparumanukkum,உடல்பருமனுக்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,21
955,bye,பை,்்்்்்்்்்்்்்்்்்்்்்்்,24
956,mukaitheen,முகைதீன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
957,ther,தேர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
958,aarvamum,ஆர்வமும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
959,railgal,ரயில்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
960,woonsocket,வூன்சாகெட்,்்்்்்்்்்்்்்்்்்்்்்்்,22
961,paththaandu,பத்தாண்டு,்்்்்்்்்்்்்்்்்்்்்்்்,22
962,sasthri,சாஸ்திரி,்்்்்்்்்்்்்்்்்்்்்்்்,23
963,sangiligal,சங்கிலிகள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
964,kinna,கிண்ண,்்்்்்்்்்்்்்்்்்்்்்்்,23
965,uthaviyaalargal,உதவியாளர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
966,aaksuvaris,ஆக்சுவரிஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
967,evu,ஈவு,்்்்்்்்்்்்்்்்்்்்்்்்,24
968,vaakuvaadham,வாக்குவாதம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
969,aayeraththai,ஆயிரத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,23
970,thodarbuth,தொடர்புத்,்்்்்்்்்்்்்்்்்்்்்்்்,22
971,rahman,ரஹ்மான்,்்்்்்்்்்்்்்்்்்்்்்்்,22
972,miqii,மிக்கி,்்்்்்்்்்்்்்்்்்்்்்்்,23
973,kaavalthuraip,காவல்துறைப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
974,cincinnati,சின்சினாட்டி,்்்்்்்்்்்்்்்்்்்்்்்்,22
975,goodyear,குட்யியர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
976,naalgalil,நாள்களில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
977,rand,ரேண்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,22
978,idaippaguthiyilulla,இடைப்பகுதியிலுள்ள,்்்்்்்்்்்்்்்்்்்்்்்்,22
979,saregama,ஸரிகம,்்்்்்்்்்்்்்்்்்்்்்்்,24
980,heidelbergceat,ஹைடில்பெர்க்சியேட்,்்்்்்்்்்்்்்்்்்்்்்்்,20
981,nicotine,நிகோடின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
982,vitayamaaga,விடயமாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
983,paathiyaaka,பாதியாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
984,musleem,முசுலீம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
985,nadaththinar,நடத்தினா்,்்்்்்்்்்்்்்்்்்்்்்்்,22
986,thamillaiyum,தமிழையும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
987,ain,ஆன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
988,mukaththuvaaraththil,முகத்துவாரத்தில்,்்்்்்்்்்்்்்்்்்்்்்்்,21
989,thoguththaar,தொகுத்தார்,்்்்்்்்்்்்்்்்்்்்்்்்,22
990,thodarbukalil,தொடர்புகளில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
991,anpaip,அன்பைப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
992,aalaaga,ஆளாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
993,hattiesburg,ஹட்டீஸ்பர்க்,்்்்்்்்்்்்்்்்்்்்்்்்,20
994,capsyulukku,கேப்ஸ்யூலுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,21
995,odyssey,ஒடிசி,்்்்்்்்்்்்்்்்்்்்்்்்,24
996,kulaththinaraik,குலத்தினரைக்,்்்்்்்்்்்்்்்்்்்்்்்்,22
997,euro,யூரோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
998,iniyaavadhu,இனியாவது,்்்்்்்்்்்்்்்்்்்்்்்்,24
999,sugar,சுகர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1000,chakkarattaip,சக்கரத்தைப்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1001,darpoo,டர்போ,்்்்்்்்்்்்்்்்்்்்்்்்,23
1002,maruththuvamanaikal,மருத்துவமனைகள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1003,ggoo,கூ,்்்்்்்்்்்்்்்்்்்்்்்்,24
1004,vaiththiyasaalaiyin,வைத்தியசாலையின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1005,sikar,சிகர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1006,mandabaththinullea,மண்டபத்தினுள்ளே,்்்்்்்்்்்்்்்்்்்்்்்்,21
1007,nelsan,நெல்சன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1008,arai,அரை,்்்்்்்்்்்்்்்்்்்்்்்்,24
1009,irumal,இருமல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1010,mision,மிஷன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1011,siridhu,சிறிது,்்்்்்்்்்்்்்்்்்்்்்்்,24
1012,udagaththai,ஊடகத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,23
1013,aaruroodu,ஆறுரோடு,்்்்்்்்்்்்்்்்்்்்்்்்,24
1014,kadarkaraiyilirundhu,கடற்கரையிலிருந்து,்்்்்்்்்்்்்்்்்்்்்்்்,22
1015,kolin,கோளின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1016,thokaiyee,தொகையே,்்்்்்்்்்்்்்்்்்்்்்்்,24
1017,maalaiyum,மாலையும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1018,thanikthanik,தனித்தனிக்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1019,rekla,ரேக்ளா,்்்்்்்்்்்்்்்்்்்்்்்்,23
1020,pilaikalai,பிழைகளை,்்்்்்்்்்்்்்்்்்்்்்்்,24
1021,cuubaa,கியூபா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1022,manaiviyidam,மனைவியிடம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1023,visaka,விசாகா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1024,azhagi,அழகி,்்்்்்்்்்்்்்்்்்்்்்்்,24
1025,keats,கீட்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1026,kevalmna,கேவலம்னா,்்்்்்்்்்்்்்்்்்்்்்்்,23
1027,purigindranar,புரிகின்றனர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1028,vaakkittu,வாக்கிட்டு,்்்்்்்்்்்்்்்்்்்்்்்்,22
1029,cofee,காஃபி,்்்்்்்்்்்்்்்்்்்்்்்்,24
1030,uyarmanithargal,உயர்மனிதர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1031,seidharth,சித்தார்த்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1032,surrivara,சுற்றிவர,்்்்்்்்்்்்்்்்்்்்்்்்,23
1033,kuuttaaka,கூட்டாக,்்்்்்்்்்்்்்்்்்்்்்்்,23
1034,paarththukondu,பார்த்துக்கொண்டு,்்்்்்்்்்்்்்்்்்்்்்்்,20
1035,adhanadippadaiyil,அதனடிப்படையில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1036,redar,ரேடார்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1037,dhayalan,தயாளன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1038,valinadaththinaar,வழிநடத்தினார்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1039,sarangpur,சாரங்பூர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1040,independence,இண்டிபெண்டென்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,20
1041,antriravu,அன்றிரவு,்்்்்்்்்்்்்்்்்்்்்்்்,23
1042,pilaant,பிளாண்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1043,kuutapata,கூட்டப்பட்ட,்்்்்்்்்்்்்்்்்்்்்்்்,21
1044,soozhappattullathu,சூழப்பட்டுள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,21
1045,yooth,யூத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1046,karachii,கராச்சி,்்்்்்்்்்்்்்்்்்்்்்்்,23
1047,jaunpur,ஜவுன்புர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1048,veliyaagavillai,வெளியாகவில்லை,்்்்்்்்்்்்்்்்்்்்்்்்,23
1049,crest,க்ரெஸ்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1050,tholaipaesi,தொலைபேசி,்்்்்்்்்்்்்்்்்்்்்்்்,24
1051,gtpl,ஜிடிபியல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1052,thukkamadaiyum,துக்கமடையும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1053,villiyam,வில்லியம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1054,vulagak,உலகக்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1055,azhukku,அழுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,23
1056,firozpur,ஃபிரோஸ்புர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1057,baliga,பாலிகா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1058,pallavargal,பல்லவர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1059,pathulaiyil,பதுளையில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1060,thaniththanmaiyaana,தனித்தன்மையான,்்்்்்்்்்்்்்்்்்்்்்்்,22
1061,valanguvathudan,வழங்குவதுடன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1062,serverukku,சர்வருக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
1063,atharkerpa,அதற்கேற்ப,்்்்்்்்்்்்்்்்்்்்்்்்,22
1064,thurubadhanaana,துருபதானான,்்்்்்்்்்்்்்்்்்்்்்்்,24
1065,maliq,மாலிக்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1066,conner,கொன்னர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1067,koly,கோலி,்்்்்்்்்்்்்்்்்்்்்்்்,24
1068,chalukkiyarkal,சாளுக்கியர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1069,mcmahon,மெக்மஹான்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1070,vazhipattukkollalaam,வழிபட்டுக்கொள்ளலாம்,்்்்்்்்்்்்்்்்்்்்்்்்,20
1071,hpaarm,ஃபார்ம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1072,kozhukkattai,கொழுக்கட்டை,்்்்்்்்்்்்்்்்்்்்்்்்,22
1073,khammam,கம்மம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1074,ahamadabad,அகமதாபாத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1075,katarkarai,கடற்கரை,்்்்்்்்்்்்்்்்்்்்்்்்,23
1076,piratecam,மத்தியப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1077,verumaiyaaga,வெறுமையாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
1078,molina,மொலினா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1079,kadapa,கடப்பா,்்்்்்்்்்்்்்்்்்்்்்்்,23
1080,malaikaattugalin,மலைக்காட்டுகளின்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1081,varuvaayth,வருவாய்த்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1082,nasavil,நாசாவில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1083,theendaamai,தீண்டாமை,்்்்்்்்்்்்்்்்்்்்்்்்,23
1084,jagaragallu,ஜகரகள்ளு,்்்்்்்்்்்்்்்்்்்்்்்்,23
1085,reading,ரீடிஞ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1086,morena,மொரீனா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1087,kidaikkindra,கிடைக்கின்ற,்்்்்்்்்்்்்்்்்்்்்்்்,22
1088,sonthamaa,சொந்தமா,்்்்்்்்்்்்்்்்்்்்்்்்,23
1089,titaniuumm,டைட்டானியம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1090,qamio,கேமியோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
1091,loodhana,லூதியானா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1092,seidhavarukku,செய்தவருக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
1093,poruththappattirukkum,பொருத்தப்பட்டிருக்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,19
1094,karrachi,கராச்சி,்்்்்்்்்்்்்்்்்்்்்்்்,23
1095,kambankal,கம்பங்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1096,yaaaraenum,யாரேனும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1097,americaavai,அமெரிக்காவை,்்்்்்்்்்்்்்்்்்்்்்்்,23
1098,ungalukkaana,உங்களுக்கான,்்்்்்்்்்்்்்்்்்்்்்்்,22
1099,kooriyathaavathu,கூறியதாவதுஃ,்்்்்்்்்்்்்்்்்்்்்்்்,24
1100,ekadarinaa,எகடரினா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1101,seibavargalukkum,செய்பவர்களுக்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,20
1102,serverkal,சர்வர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1103,kattumaanam,கட்டுமானம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1104,varadhan,வரதன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1105,virichal,விரிசல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1106,uudaaka,ஊடக,்்்்்்்்்்்்்்்்்்்்்்்்,24
1107,busyaaga,பிசியாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
1108,hydro,ஹைட்ரோ,்்்்்்்்்்்்்்்்்்்்்்்்,23
1109,niraivetru,நிறைவேற்று,்்்்்்்்்்்்்்்்்்்்்்்்,23
1110,villupuram,விழுப்புரம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1111,waee,வேய்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1112,tobaggo,டொபாகோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
1113,murpattaar,முற்பட்டார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
1114,noushathin,நெளஷதின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1115,magana,மகனா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1116,ahmadabad,அகமதாபாத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1117,noolakaththai,நூலகத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,23
1118,kettaal,கேட்டாள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1119,magizhunthu,மகிழுந்து,்்்்்்்்்்்்்்்்்்்்்்்்,23
1120,kavalaippadamal,கவலைப்படாமல்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1121,thaankal,தாங்கல்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1122,bakaa,பகா,்்்்்்்்்்்்்்்்்்்்்்்்,24
1123,pinaikkappattavar,பிணைக்கப்பட்டவர்,்்்்்்்்்்்்்்்்்்்்்்்்,20
1124,piriththaar,பிரித்தார்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1125,uruvaakkuvatharku,உருவாக்குவதற்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
1126,yenavethaan,எனவேதான்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1127,colombil,கொழும்பில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
1128,seethakkathi,சீதக்காதி,்்்்்்்்்்்்்்்்்்்்்்்்,23
1129,aasram,ஆசிரமம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1130,lenexa,லெனெக்ஸா,்்்்்்்்்்்்்்்்்்்்்்்்,23
1131,euless,யுலெஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
1132,solvathu,சொல்வது,்்்்்்்்்்்்்்்்்்்்்்்்,23
